qualite_id,agence_id,date,note_satisfaction_client,reclamations_ouvertes,reclamations_traitees,delai_resolution_moyen
QUAL-AG-009-2024-03,AG-009,2024-03-01,31,0,0,10
QUAL-AG-009-2024-04,AG-009,2024-04-01,55,19,16,7
QUAL-AG-009-2024-05,AG-009,2024-05-01,45,4,3,4
QUAL-AG-009-2024-06,AG-009,2024-06-01,33,0,0,2
QUAL-AG-009-2024-07,AG-009,2024-07-01,50,16,16,1
QUAL-AG-009-2024-08,AG-009,2024-08-01,85,2,0,1
QUAL-AG-009-2024-09,AG-009,2024-09-01,42,7,6,4
QUAL-AG-009-2024-10,AG-009,2024-10-01,84,0,0,6
QUAL-AG-009-2024-11,AG-009,2024-11-01,79,15,13,5
QUAL-AG-009-2024-12,AG-009,2024-12-01,64,16,12,4
QUAL-AG-009-2025-01,AG-009,2025-01-01,71,5,4,8
QUAL-AG-009-2025-02,AG-009,2025-02-01,76,0,0,8
QUAL-AG-009-2025-03,AG-009,2025-03-01,63,10,6,3
QUAL-AG-009-2025-04,AG-009,2025-04-01,65,10,5,5
QUAL-AG-009-2025-05,AG-009,2025-05-01,85,3,2,10
QUAL-AG-009-2025-06,AG-009,2025-06-01,66,13,13,4
QUAL-AG-009-2025-07,AG-009,2025-07-01,63,5,4,7
QUAL-AG-009-2025-08,AG-009,2025-08-01,65,6,2,8
QUAL-AG-009-2025-09,AG-009,2025-09-01,66,20,19,3
QUAL-AG-009-2025-10,AG-009,2025-10-01,64,0,0,5
QUAL-AG-009-2025-11,AG-009,2025-11-01,56,8,5,6
QUAL-AG-009-2025-12,AG-009,2025-12-01,56,13,11,9
QUAL-AG-009-2026-01,AG-009,2026-01-01,60,8,8,7
QUAL-AG-009-2026-02,AG-009,2026-02-01,79,2,1,1
QUAL-AG-009-2026-03,AG-009,2026-03-01,36,14,12,6
QUAL-AG-009-2026-04,AG-009,2026-04-01,66,14,11,7
QUAL-AG-009-2026-05,AG-009,2026-05-01,62,9,9,9
QUAL-AG-009-2026-06,AG-009,2026-06-01,77,8,6,2
QUAL-AG-009-2026-07,AG-009,2026-07-01,41,17,17,5
QUAL-AG-009-2026-08,AG-009,2026-08-01,74,12,12,2
QUAL-AG-009-2026-09,AG-009,2026-09-01,54,3,3,5
QUAL-AG-009-2026-10,AG-009,2026-10-01,31,6,3,2
QUAL-AG-009-2026-11,AG-009,2026-11-01,55,0,0,6
QUAL-AG-009-2026-12,AG-009,2026-12-01,70,8,5,6
QUAL-AG-010-2023-01,AG-010,2023-01-01,41,12,8,4
QUAL-AG-010-2023-02,AG-010,2023-02-01,78,8,7,8
QUAL-AG-010-2023-03,AG-010,2023-03-01,47,0,0,5
QUAL-AG-010-2023-04,AG-010,2023-04-01,73,8,3,6
QUAL-AG-010-2023-05,AG-010,2023-05-01,51,18,16,7
QUAL-AG-010-2023-06,AG-010,2023-06-01,31,0,0,1
QUAL-AG-010-2023-07,AG-010,2023-07-01,35,19,16,3
QUAL-AG-010-2023-08,AG-010,2023-08-01,79,4,3,9
QUAL-AG-010-2023-09,AG-010,2023-09-01,67,15,13,3
QUAL-AG-010-2023-10,AG-010,2023-10-01,71,14,9,4
QUAL-AG-010-2023-11,AG-010,2023-11-01,63,7,3,6
QUAL-AG-010-2023-12,AG-010,2023-12-01,85,1,0,6
QUAL-AG-010-2024-01,AG-010,2024-01-01,70,14,14,10
QUAL-AG-010-2024-02,AG-010,2024-02-01,31,19,15,2
QUAL-AG-010-2024-03,AG-010,2024-03-01,53,1,0,2
QUAL-AG-010-2024-04,AG-010,2024-04-01,84,0,0,5
QUAL-AG-010-2024-05,AG-010,2024-05-01,70,8,4,5
QUAL-AG-010-2024-06,AG-010,2024-06-01,77,15,12,1
QUAL-AG-010-2024-07,AG-010,2024-07-01,81,15,11,6
QUAL-AG-010-2024-08,AG-010,2024-08-01,66,10,5,2
QUAL-AG-010-2024-09,AG-010,2024-09-01,41,19,17,5
QUAL-AG-010-2024-10,AG-010,2024-10-01,77,12,9,10
QUAL-AG-010-2024-11,AG-010,2024-11-01,38,2,0,8
QUAL-AG-010-2024-12,AG-010,2024-12-01,74,11,8,3
QUAL-AG-010-2025-01,AG-010,2025-01-01,40,16,16,1
QUAL-AG-010-2025-02,AG-010,2025-02-01,77,2,0,8
QUAL-AG-010-2025-03,AG-010,2025-03-01,49,14,10,5
QUAL-AG-010-2025-04,AG-010,2025-04-01,50,18,17,4
QUAL-AG-010-2025-05,AG-010,2025-05-01,37,13,8,4
QUAL-AG-010-2025-06,AG-010,2025-06-01,82,5,2,5
QUAL-AG-010-2025-07,AG-010,2025-07-01,62,19,16,2
QUAL-AG-010-2025-08,AG-010,2025-08-01,73,1,1,2
QUAL-AG-010-2025-09,AG-010,2025-09-01,59,17,17,3
QUAL-AG-010-2025-10,AG-010,2025-10-01,69,9,4,6
QUAL-AG-010-2025-11,AG-010,2025-11-01,34,7,7,5
QUAL-AG-010-2025-12,AG-010,2025-12-01,79,18,16,9
QUAL-AG-010-2026-01,AG-010,2026-01-01,74,9,8,4
QUAL-AG-010-2026-02,AG-010,2026-02-01,52,4,0,4
QUAL-AG-010-2026-03,AG-010,2026-03-01,60,5,0,9
QUAL-AG-010-2026-04,AG-010,2026-04-01,75,11,8,8
QUAL-AG-010-2026-05,AG-010,,65,3,0,4
QUAL-AG-010-2026-06,AG-010,2026-06-01,50,12,10,8
QUAL-AG-010-2026-07,AG-010,2026-07-01,60,3,3,6
QUAL-AG-010-2026-08,AG-010,2026-08-01,38,2,0,8
QUAL-AG-010-2026-09,AG-010,,73,16,12,5
QUAL-AG-010-2026-10,AG-010,2026-10-01,76,18,18,2
QUAL-AG-010-2026-11,AG-010,2026-11-01,37,2,0,7
QUAL-AG-010-2026-12,AG-010,2026-12-01,54,20,20,2
